iter	Passed	Remaining
0	0	97
1	1	85
2	2	77
3	3	72
4	3	71
5	4	69
6	5	68
7	5	67
8	6	68
9	7	67
10	8	66
11	8	65
12	9	64
13	10	63
14	10	62
15	11	61
16	12	60
17	13	59
18	13	58
19	14	58
20	15	57
21	15	56
22	16	55
23	17	55
24	18	54
25	18	53
26	19	53
27	20	52
28	21	51
29	21	50
30	22	50
31	23	49
32	23	48
33	24	47
34	25	46
35	25	46
36	26	45
37	27	44
38	28	44
39	28	43
40	29	42
41	29	41
42	30	40
43	31	39
44	32	39
45	32	38
46	33	37
47	34	37
48	34	36
49	35	35
50	36	34
51	37	34
52	37	33
53	38	32
54	38	31
55	39	31
56	40	30
57	41	29
58	41	29
59	42	28
60	43	27
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	48	23
67	48	23
68	49	22
69	50	21
70	51	20
71	52	20
72	52	19
73	53	18
74	54	18
75	54	17
76	55	16
77	56	15
78	57	15
79	57	14
80	58	13
81	59	13
82	60	12
83	60	11
84	61	10
85	62	10
86	63	9
87	63	8
88	64	7
89	65	7
90	65	6
91	66	5
92	67	5
93	67	4
94	68	3
95	69	2
96	69	2
97	70	1
98	71	0
99	71	0
