iter	Passed	Remaining
0	0	831
1	1	775
2	2	741
3	2	744
4	3	747
5	4	736
6	5	714
7	5	711
8	6	706
9	7	699
10	7	700
11	8	693
12	9	697
13	9	701
14	10	703
15	11	698
16	12	699
17	12	695
18	13	690
19	14	688
20	14	689
21	15	690
22	16	690
23	16	688
24	17	685
25	18	684
26	18	682
27	19	681
28	20	681
29	21	679
30	21	678
31	22	679
32	23	679
33	23	677
34	24	684
35	25	688
36	26	687
37	27	687
38	27	684
39	28	682
40	29	679
41	29	678
42	30	678
43	31	679
44	31	677
45	32	676
46	33	675
47	33	674
48	34	671
49	35	670
50	35	669
51	36	667
52	37	665
53	37	663
54	38	662
55	39	663
56	40	662
57	40	663
58	41	662
59	42	660
60	42	660
61	43	660
62	44	659
63	45	658
64	45	657
65	46	655
66	46	654
67	47	652
68	48	653
69	49	652
70	49	650
71	50	649
72	51	648
73	51	646
74	52	644
75	52	643
76	53	642
77	54	642
78	55	642
79	55	642
80	56	642
81	57	641
82	57	636
83	58	636
84	59	636
85	59	635
86	60	634
87	61	633
88	61	632
89	62	631
90	63	630
91	63	629
92	64	628
93	65	628
94	65	626
95	66	625
96	67	624
97	67	623
98	68	622
99	69	623
100	70	623
101	70	624
102	71	624
103	72	624
104	73	623
105	73	623
106	74	622
107	75	622
108	76	621
109	76	620
110	77	620
111	78	619
112	78	618
113	79	617
114	80	617
115	80	616
116	81	614
117	82	614
118	82	613
119	83	615
120	85	617
121	85	617
122	86	617
123	87	617
124	88	620
125	89	620
126	90	618
127	90	618
128	91	617
129	92	617
130	92	615
131	93	615
132	94	613
133	94	612
134	95	612
135	96	611
136	96	610
137	97	609
138	98	608
139	98	607
140	99	608
141	100	607
142	101	606
143	101	605
144	102	605
145	103	604
146	104	604
147	104	603
148	105	603
149	106	603
150	107	604
151	108	604
152	109	603
153	109	602
154	110	601
155	111	601
156	111	600
157	112	600
158	113	599
159	114	598
160	114	597
161	115	598
162	116	598
163	117	598
164	118	599
165	119	598
166	120	598
167	120	598
168	121	598
169	122	597
170	123	596
171	123	595
172	124	595
173	125	595
174	126	594
175	126	593
176	127	593
177	128	592
178	129	591
179	129	591
180	130	591
181	131	591
182	132	590
183	132	589
184	133	588
185	134	587
186	134	586
187	135	586
188	136	585
189	137	584
190	137	583
191	138	582
192	139	581
193	139	581
194	140	580
195	141	579
196	142	578
197	142	578
198	143	577
199	144	576
200	145	576
201	146	577
202	147	577
203	147	576
204	148	576
205	149	576
206	150	575
207	151	574
208	151	574
209	152	573
210	153	572
211	154	572
212	154	572
213	155	571
214	156	570
215	156	569
216	157	568
217	158	568
218	159	567
219	159	566
220	160	566
221	161	565
222	162	564
223	162	564
224	163	563
225	164	562
226	165	562
227	165	561
228	166	560
229	167	560
230	168	559
231	168	558
232	169	557
233	169	556
234	170	555
235	171	554
236	172	554
237	172	553
238	173	552
239	174	551
240	174	551
241	175	550
242	176	549
243	177	549
244	177	548
245	178	547
246	179	546
247	179	545
248	180	544
249	181	543
250	181	543
251	182	542
252	183	541
253	184	541
254	185	540
255	185	540
256	186	539
257	187	539
258	188	538
259	189	538
260	189	537
261	190	537
262	191	536
263	192	536
264	193	535
265	194	535
266	194	534
267	195	533
268	196	533
269	197	532
270	197	532
271	198	531
272	199	530
273	200	530
274	200	529
275	201	528
276	202	528
277	203	527
278	203	526
279	204	526
280	205	526
281	206	525
282	207	525
283	208	524
284	208	523
285	209	523
286	210	522
287	211	521
288	211	521
289	212	520
290	213	519
291	214	518
292	214	518
293	215	517
294	216	517
295	217	516
296	217	515
297	218	514
298	219	514
299	220	513
300	220	513
301	221	512
302	222	511
303	223	510
304	223	509
305	224	509
306	225	508
307	225	507
308	226	506
309	227	505
310	227	504
311	228	504
312	229	503
313	230	502
314	230	501
315	231	500
316	232	499
317	232	499
318	233	498
319	234	497
320	234	496
321	235	496
322	236	496
323	237	495
324	238	494
325	238	493
326	239	493
327	240	492
328	241	491
329	241	490
330	242	489
331	243	489
332	243	488
333	244	487
334	245	486
335	245	485
336	246	485
